id,Category,Subcategary,level,cmd,act,prompt,enable,Explanation,rate,Examples
,,,(0-7),study_plan(0-7),Create a one-week study plan for IELTS writing，I have 30 minutes every day to study.,Create a one-week study plan for IELTS writing，I have 30 minutes every day to study.,,,,
11,English Learning,Exam writing,(1-1) ,ielts_essay_prompt(1-1) ,Write a model IELTS essay to the following prompt: [prompt],Write a model IELTS essay to the following prompt: [prompt],,,,
12,English Learning,Exam writing,(1-2) ,ielts_essay_outline_prompt(1-2) ,Write an outline to the following IELTS writing prompt: [prompt],Write an outline to the following IELTS writing prompt: [prompt],,,,
13,English Learning,Exam writing,(1-3) ,ielts_essay_prompt_outline(1-3) ,"Write a model IELTS essay to the following IELTS writing prompt and according to the following outline:
prompt: [prompt] 
outline: [outline]","Write a model IELTS essay to the following IELTS writing prompt and according to the following outline:
prompt: [prompt] 
outline: [outline]",,,,
14,,,(1-4),ielts_essay_prompt_position(1-4),Write a model IELTS essay to the following prompt with the position that [position]:  [prompt],Write a model IELTS essay to the following prompt with the position that [position]:  [prompt],,,,
15,,,(1-5),academic_style(1-5),Rewrite it in a more academic style,Rewrite it in a more academic style,,,,
16,,,(1-6),other_style(1-6),Rewrite it in the style of [writer/magazine/newspaper],Rewrite it in the style of [writer/magazine/newspaper],,,,
17,,,(1-7),advanced_simplified__vocabulary(1-7),Rewrite it using more advanced/simplified language,Rewrite it using more advanced/simplified language,,,,
18,,,(2-1),idea_generation_pros_cons(2-1),List the benefits and drawbacks of [trend/phenomenon],List the benefits and drawbacks of [trend/phenomenon],,,,
19,,,(2-2),idea_generation_arguments_for_and_against(2-2),List the arguments for and against the opinion that [opinion],List the arguments for and against the opinion that [opinion],,,,
20,,,(2-3),idea_generation_causes_solutions(2-3),List the causes of and solutions to the issue/phenomenon that [issue/phenomenon],List the causes of and solutions to the issue/phenomenon that [issue/phenomenon],,,,
21,,,(2-4),idea_explain(2-4),"Explain, extend and support the idea: [idea]","Explain, extend and support the idea: [idea]",,,,
22,,,(2-5),idea_example(2-5),Use an example to support the idea: [idea],Use an example to support the idea: [idea],,,,
23,,,(3-1),paraphrasing(3-1),List [n] ways to rephrase/rewrite : [expression/sentence],List [n] ways to rephrase/rewrite : [expression/sentence],,,,
24,,,(4-1-a),proofreading(4-1-a),"Identify, explain and correct the grammar/spelling errors in the following text : [text]","Identify, explain and correct the grammar/spelling errors in the following text : [text]",,,,
25,,,(4-1-b),proofreading_table(4-1-b),"Identify, explain and correct the grammar/spelling errors in the format of table in the following text : [text]","Identify, explain and correct the grammar/spelling errors in the format of table in the following text : [text]",,,,
26,,,(4-2),polish_text(4-2),Polish the following text: [text],Polish the following text: [text],,,,
27,,,(4-3),insert_text(4-3),Insert content in the bracket in the following text:  [before-text] () [after-text],Insert content in the bracket in the following text:  [before-text] () [after-text],,,,
28,,,(4-4),vocabulary_improvement(4-4),Rewrite the following text using a wider range of vocabulary : [text],Rewrite the following text using a wider range of vocabulary : [text],,,,
29,,,(4-5),cc_improvement(4-5),Improve the coherence and cohesion in the following text: [text],Improve the coherence and cohesion in the following text: [text],,,,
30,,,(4-6),sentence_structure_improvement(4-6),Rewrite the following text using a wider range of complex sentence structure: [text],Rewrite the following text using a wider range of complex sentence structure: [text],,,,
31,,,(4-7),ielts_essay_grading(4-7),"Act as an IELTS examiner, and rate the following IELTS essay, please point out its problems in categories of Task Response, Coherence and cohesion, Lexical resource, and Grammatical Range and Accuracy; and give corresponding corrections and improvements; and a band score from 0~9: [essay]
","Act as an IELTS examiner, and rate the following IELTS essay, please point out its problems in categories of Task Response, Coherence and cohesion, Lexical resource, and Grammatical Range and Accuracy; and give corresponding corrections and improvements; and a band score from 0~9: [essay]
",,,,
32,,,(5-1),2+1_introduction(5-1),"This is an IELTS writing prompt:
[prompt]

Now you need to write a two-sentence, around 40-word introduction as per the template below:
[template]","This is an IELTS writing prompt:
[prompt]

Now you need to write a two-sentence, around 40-word introduction as per the template below:
[template]",,,,
34,,,(5-2),2+1_body(5-2),"Below is an introduction of an IELTS essay: 
[introduction]
Now, write two body paragraphs according to the following template:
[template]","Below is an introduction of an IELTS essay: 
[introduction]
Now, write two body paragraphs according to the following template:
[template]",,,,
35,,,(5-3),2+1_conclusion(5-3),"Below is an introduction and body of an IELTS essay: 
“[introduction + body]”
Now, write a one-sentence conclusion summarizing the main ideas and restate the position if applicable.","Below is an introduction and body of an IELTS essay: 
“[introduction + body]”
Now, write a one-sentence conclusion summarizing the main ideas and restate the position if applicable.",,,,
36,,,(5-4),2+1_essay(5-4),"This is an IELTS writing prompt:
[prompt]
Now, write an essay according to the following template:
[template]","This is an IELTS writing prompt:
[prompt]
Now, write an essay according to the following template:
[template]",,,,
37,,,(6-1),reading_explain(6-1),Explain what “[word/expression/sentence]”means in the following article in both English and [your native language]: [article],Explain what “[word/expression/sentence]”means in the following article in both English and [your native language]: [article],,,,
38,,,(6-2),reading_vocabulary_notes(6-2),Prepare vocabulary notes explaining words and phrases that might be difficult for intermediate learners of English to understand in the following article in both English and [your native language] : [article],Prepare vocabulary notes explaining words and phrases that might be difficult for intermediate learners of English to understand in the following article in both English and [your native language] : [article],,,,
39,,,(6-3),article_translation(6-3),Translate the following article into [your native language]： [article],Translate the following article into [your native language]： [article],,,,
40,,,(6-4),reading_sentence_by_sentence(6-4),"Display the following article sentence by sentence. First show the English sentence, then the vocabulary notes in [your native language] for difficult words and phrases in that sentence, and finally the [your native language] translation of that sentence. Do this for the entire article ： [article]","Display the following article sentence by sentence. First show the English sentence, then the vocabulary notes in [your native language] for difficult words and phrases in that sentence, and finally the [your native language] translation of that sentence. Do this for the entire article ： [article]",,,,
41,,,(7-1~3),ielts_speaking(7-1~3),"Act as a [your native language] IELTS candidate sitting for the speaking test,  please answer the following questions in English. The speaking time should be around [number] minutes.
[Part 1/2/3 questions]","Act as a [your native language] IELTS candidate sitting for the speaking test,  please answer the following questions in English. The speaking time should be around [number] minutes.
[Part 1/2/3 questions]",,,,
42,,,(7-4),ielts_speaking_custom(7-4),"Act as a [your native language] IELTS candidate sitting for the speaking test,  please answer the following question in English with requirements below. The speaking time should be around [n] minutes.
question : [question]
requirements : [requirements]","Act as a [your native language] IELTS candidate sitting in the speaking test,  please answer the following question in English with requirements below. The speaking time should be around [n] minutes.
question : [question]
requirements : [requirements]",,,,
43,,,(7-5-a),ielts_speaking_practice_candidate(7-5-a),"Act as an IELTS speaking examiner, I am the candidate. You will ask me some common IELTS speaking questions, one question each time. Now please ask me the first question.","Act as an IELTS speaking examiner, I am the candidate. You will ask me some common IELTS speaking questions, one question each time. Now please ask me the first question.",,,,
44,,,(7-5-b),ielts_speaking_practice_examiner(7-5-b),"Act as an IELTS candidate sitting for the speaking test, assume [your profile]. I am the examiner , and I will ask you some questions one by one; please try your best to answer them. The first question is : [question]","Act as an IELTS candidate sitting for the speaking test, assume [your profile]. I am the examiner , and I will ask you some questions one by one; please try your best to answer them. The first question is : [question]",,,,
