id,Category,Subcategary,level,cmd,act,prompt,enable,Explanation,rate,Examples,,,,,
27,,,(3-1),同义改写(3-1),同义改写表达和句子,List [n] ways to rephrase/rewrite : [expression/sentence],,,,,,,,,
28,,,(4-1-a),语法/拼写检查纠错(4-1-a),语法/拼写检查纠错,"Identify, explain and correct the grammar/spelling errors in the following text : [text]",,,,,,,,,
29,,,(4-1-b),语法/拼写检查纠错(表格)(4-1-b),以表格形式进行语法/拼写检查纠错,"Identify, explain and correct the grammar/spelling errors in the format of table in the following text : [text]",,,,,,,,,
30,,,(4-2),文本润色(4-2),文本润色,Polish the following text: [text],,,,,,,,,
31,,,(4-3),文本插入(4-3),文本插入,Insert content in the bracket in the following text:  [before-text] () [after-text],,,,,,,,,
32,,,(4-4),文本词汇多样性提升(4-4),文本词汇多样性提升,Rewrite the following text using a wider range of vocabulary : [text],,,,,,,,,
33,,,(4-5),文本连贯衔接提升(4-5),文本连贯衔接提升,Improve the coherence and cohesion in the following text: [text],,,,,,,,,
34,,,(4-6),文本句型多样性提升(4-6),文本句型多样性提升,Rewrite the following text using a wider range of complex sentence structure: [text],,,,,,,,,
35,,,(4-7),作文分项批改(4-7),"按照雅思官方评分标准对作文分项批改
","Act as an IELTS examiner, and rate the following IELTS essay, please point out its problems in categories of Task Response, Coherence and cohesion, Lexical resource, and Grammatical Range and Accuracy; and give corresponding corrections and improvements; and a band score from 0~9: [essay]
",,,,,,,,,
36,,,(5-1),(2+1)开始段(5-1),用2+1框架写雅思大作文开始段,"This is an IELTS writing prompt:
[prompt]

Now you need to write a two-sentence, around 40-word introduction as per the template below:
[template]",,,,,,,,,
37,,,(5-2),(2+1)主体段(5-2),用2+1框架写雅思大作文主体段,"Below is an introduction of an IELTS essay: 
[introduction]
Now, write two body paragraphs according to the following template:
[template]",,,,,,,,,
38,,,(5-3),(2+1)结尾段(5-3),用2+1框架写雅思大作文结尾段,"Below is an introduction and body of an IELTS essay: 
“[introduction + body]”
Now, write a one-sentence conclusion summarizing the main ideas and restate the position if applicable.",,,,,,,,,
39,,,(5-4),(2+1)全文(5-4),用2+1框架写雅思大作文全文,"This is an IELTS writing prompt:
[prompt]
Now, write an essay according to the following template:
[template]",,,,,,,,,
40,,,(6-1),阅读:疑难词句解释(6-1),阅读:文章疑难词句解释(中英对照),Explain what “[word/expression/sentence]”means in the following article in both English and Chinese: [article],,,,,,,,,
41,,,(6-2),阅读:疑难单词/词组列表释义(6-2),阅读:疑难单词/词组列表释义(中英对照),Prepare vocabulary notes explaining words and phrases that might be difficult for intermediate learners of English to understand in the following article in both English and Chinese : [article],,,,,,,,,
42,,,(6-3),阅读:文章翻译(6-3),文章翻译,Translate the following article into Chinese： [article],,,,,,,,,
43,,,(6-4),阅读:文章逐句难词释义和整句翻译(6-4),阅读:文章逐句难词释义和整句翻译,"Display the following article sentence by sentence. First show the English sentence, then the vocabulary notes in Chinese for difficult words and phrases in that sentence, and finally the Chinese translation of that sentence. Do this for the entire article ： [article]",,,,,,,,,
44,,,(7-1~3),口语Part 1/2/3问题(7-1~3),雅思口语Part 1/2/3问题,"Act as a Chinese IELTS candidate sitting in the speaking test,  please answer the following questions in English. The speaking time should be around 3~4 minutes.
[Part 1/2/3 questions]",,,,,,,,,
45,,,(7-4),定制化回答雅思口语问题(7-4),定制化回答雅思口语问题,"Act as a Chinese IELTS candidate sitting in the speaking test,  please answer the following question in English with requirements below. The speaking time should be around [n] minutes.
question : [question]
requirements : [requirements]",,,,,,,,,
46,,,(7-5-a),雅思口语语音对练(作为考生)(7-5-a),雅思口语语音对练(作为考生),"Act as an IELTS speaking examiner, I am the candidate. You will ask me some common IELTS speaking questions, one question each time. Now please ask me the first question.",,,,,,,,,
47,,,(7-5-b),雅思口语语音对练(作为考官)(7-5-b),雅思口语语音对练(作为考官),"Act as an IELTS candidate sitting for the speaking test, assume [your profile]. I am the examiner , and I will ask you some questions one by one; please try your best to answer them. The first question is : [question]",,,,,,,,,
48,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
49,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
50,,,,,,,,,,,,,,,
51,,,,,,,,,,,,,,,
52,,,,,,,,,,,,,,,
53,,,,,,,,,,,,,,,
54,,,,,,,,,,,,,,,
55,,,,,,,,,,,,,,,
56,,,,,,,,,,,,,,,
57,,,,,,,,,,,,,,,
58,,,,,,,,,,,,,,,
